local_bs,level,x,prob,gumbel_prob
32,L1_layer_iid_shuffle,85,0.0,8.423623033488216e-06
32,L1_layer_iid_shuffle,86,0.0,7.309081254832775e-06
32,L1_layer_iid_shuffle,87,0.0,6.341999513477022e-06
32,L1_layer_iid_shuffle,88,0.0,5.5028696630220585e-06
32,L1_layer_iid_shuffle,89,0.0,4.774763973712802e-06
32,L1_layer_iid_shuffle,90,0.0,4.142993910012147e-06
32,L1_layer_iid_shuffle,91,0.0,3.594814006661215e-06
32,L1_layer_iid_shuffle,92,0.0,3.1191648859902295e-06
32,L1_layer_iid_shuffle,93,0.0,2.7064502491683725e-06
32,L1_layer_iid_shuffle,94,0.0,2.3483433534264994e-06
32,L1_layer_iid_shuffle,95,0.0,2.037619077925333e-06
32,L1_layer_iid_shuffle,96,0.0,1.7680081987498289e-06
32,L1_layer_iid_shuffle,97,0.0,1.534070934602075e-06
32,L1_layer_iid_shuffle,98,0.0,1.3310872203375863e-06
32,L1_layer_iid_shuffle,99,0.0,1.1549614896750388e-06
32,L1_layer_iid_shuffle,100,0.0,1.0021400573845731e-06
32,L1_layer_iid_shuffle,101,0.0,8.695394264050801e-07
32,L1_layer_iid_shuffle,102,0.0,7.5448408126329e-07
32,L1_layer_iid_shuffle,103,0.0,6.546525096897811e-07
32,L1_layer_iid_shuffle,104,0.0,5.680303654124101e-07
32,L1_layer_iid_shuffle,105,0.0,4.928698282154304e-07
32,L1_layer_iid_shuffle,106,0.0,4.276543390330266e-07
32,L1_layer_iid_shuffle,107,0.0,3.710680024210207e-07
32,L1_layer_iid_shuffle,108,0.0,3.219690355699584e-07
32,L1_layer_iid_shuffle,109,0.0,2.793667319516588e-07
32,L1_layer_iid_shuffle,110,0.0,2.424014707519856e-07
32,L1_layer_iid_shuffle,111,0.0,2.1032737363074804e-07
32,L1_layer_iid_shuffle,112,0.0,1.8249725409243066e-07
32,L1_layer_iid_shuffle,113,0.0,1.583495589303423e-07
32,L1_layer_iid_shuffle,114,0.0,1.3739703873231716e-07
32,L1_layer_iid_shuffle,115,0.0,1.19216914634171e-07
32,L1_layer_iid_shuffle,116,0.0,1.0344234958537252e-07
32,L1_layer_iid_shuffle,117,0.0,8.975504493691126e-08
32,L1_layer_iid_shuffle,118,0.0,7.787881857746314e-08
32,L1_layer_iid_shuffle,119,0.0,6.757403250129688e-08
32,L1_layer_iid_shuffle,120,0.0,5.863275667618128e-08
32,L1_layer_iid_shuffle,121,0.0,5.087457428721312e-08
32,L1_layer_iid_shuffle,122,0.0,4.414294031586892e-08
32,L1_layer_iid_shuffle,123,0.0,3.830202417635517e-08
32,L1_layer_iid_shuffle,124,0.0,3.3233967575421044e-08
32,L1_layer_iid_shuffle,125,0.0,2.8836507191502156e-08
32,L1_layer_iid_shuffle,126,0.0,2.5020910880885096e-08
32,L1_layer_iid_shuffle,127,0.0,2.1710187664903758e-08
32,L1_layer_iid_shuffle,128,0.0,1.883753341751284e-08
32,L2_layer_without_replacement,0,0.0,6.86993348471615e-05
32,L2_layer_without_replacement,1,0.0,0.00017553111149986488
32,L2_layer_without_replacement,2,0.0,0.0004898774793361879
32,L2_layer_without_replacement,3,0.0,0.0011734474968548864
32,L2_layer_without_replacement,4,0.0,0.002460817888612054
32,L2_layer_without_replacement,5,0.0,0.004596591215359562
32,L2_layer_without_replacement,6,0.0,0.007763798349360875
32,L2_layer_without_replacement,7,0.0,0.012014233242856727
32,L2_layer_without_replacement,8,0.0,0.017229324493186277
32,L2_layer_without_replacement,9,0.003696236559139785,0.023126812807875364
32,L2_layer_without_replacement,10,0.015625,0.029309135588692168
32,L2_layer_without_replacement,11,0.035114247311827954,0.035334996681626214
32,L2_layer_without_replacement,12,0.049227150537634407,0.04079157073415564
32,L2_layer_without_replacement,13,0.06838037634408602,0.045349848130480035
32,L2_layer_without_replacement,14,0.07090053763440861,0.04879486655481129
32,L2_layer_without_replacement,15,0.058635752688172046,0.05103125315586652
32,L2_layer_without_replacement,16,0.05174731182795699,0.05207001375935202
32,L2_layer_without_replacement,17,0.038306451612903226,0.05200446618177644
32,L2_layer_without_replacement,18,0.03612231182795699,0.05098255750381693
32,L2_layer_without_replacement,19,0.039986559139784945,0.049180824237636186
32,L2_layer_without_replacement,20,0.04670698924731183,0.046783009100587074
32,L2_layer_without_replacement,21,0.05057123655913978,0.043964462510837986
32,L2_layer_without_replacement,22,0.05678763440860215,0.040882165407424766
32,L2_layer_without_replacement,23,0.05846774193548387,0.037669495940183755
32,L2_layer_without_replacement,24,0.06266801075268817,0.0344345924905918
32,L2_layer_without_replacement,25,0.052083333333333336,0.03126118113754839
32,L2_layer_without_replacement,26,0.04855510752688172,0.028210902002034747
32,L2_layer_without_replacement,27,0.05611559139784946,0.02532639013991614
32,L2_layer_without_replacement,28,0.04502688172043011,0.022634584824354965
32,L2_layer_without_replacement,29,0.03125,0.020149927194927596
32,L2_layer_without_replacement,30,0.016969086021505375,0.017877250509229354
32,L2_layer_without_replacement,31,0.006216397849462365,0.015814270703442573
32,L2_layer_without_replacement,32,0.0008400537634408602,0.01395365388916368
32,L2_layer_without_replacement,33,0.0,0.012284679594026841
32,L2_layer_without_replacement,34,0.0,0.010794541441025889
32,L2_layer_without_replacement,35,0.0,0.009469336789395915
32,L2_layer_without_replacement,36,0.0,0.008294798426663674
32,L2_layer_without_replacement,37,0.0,0.007256818171795927
32,L2_layer_without_replacement,38,0.0,0.00634180658852327
32,L2_layer_without_replacement,39,0.0,0.005536926441496505
32,L2_layer_without_replacement,40,0.0,0.004830230976507572
32,L2_layer_without_replacement,41,0.0,0.004210732075447313
32,L2_layer_without_replacement,42,0.0,0.003668418062221528
32,L2_layer_without_replacement,43,0.0,0.0031942364854038543
32,L2_layer_without_replacement,44,0.0,0.0027800535485349286
32,L2_layer_without_replacement,45,0.0,0.002418598921533314
32,L2_layer_without_replacement,46,0.0,0.002103402348063736
32,L2_layer_without_replacement,47,0.0,0.00182872666229574
32,L2_layer_without_replacement,48,0.0,0.0015895004491333835
32,L2_layer_without_replacement,49,0.0,0.001381252540580066
32,L2_layer_without_replacement,50,0.0,0.0012000497658256107
32,L2_layer_without_replacement,51,0.0,0.0010424388046328828
32,L2_layer_without_replacement,52,0.0,0.0009053925845870371
32,L2_layer_without_replacement,53,0.0,0.0007862613744502937
32,L2_layer_without_replacement,54,0.0,0.0006827285280849968
32,L2_layer_without_replacement,55,0.0,0.0005927707027617563
32,L2_layer_without_replacement,56,0.0,0.0005146222941605487
32,L2_layer_without_replacement,57,0.0,0.0004467437842677553
32,L2_layer_without_replacement,58,0.0,0.00038779367736457734
32,L2_layer_without_replacement,59,0.0,0.0003366036956403144
32,L2_layer_without_replacement,60,0.0,0.00029215691395925914
32,L2_layer_without_replacement,61,0.0,0.00025356852877126557
32,L2_layer_without_replacement,62,0.0,0.00022006897607478246
32,L2_layer_without_replacement,63,0.0,0.000190989135579136
32,L2_layer_without_replacement,64,0.0,0.0001657473812606338
32,L2_layer_without_replacement,65,0.0,0.0001438382613656701
32,L2_layer_without_replacement,66,0.0,0.00012482261291641382
32,L2_layer_without_replacement,67,0.0,0.00010831893648842813
32,L2_layer_without_replacement,68,0.0,9.399587626818328e-05
32,L2_layer_without_replacement,69,0.0,8.156566800545313e-05
32,L2_layer_without_replacement,70,0.0,7.077843347623373e-05
32,L2_layer_without_replacement,71,0.0,6.141721449140016e-05
32,L2_layer_without_replacement,72,0.0,5.329365238744417e-05
32,L2_layer_without_replacement,73,0.0,4.624423046197242e-05
32,L2_layer_without_replacement,74,0.0,4.012700701415521e-05
32,L2_layer_without_replacement,75,0.0,3.481877570685061e-05
32,L2_layer_without_replacement,76,0.0,3.0212597926207354e-05
32,L2_layer_without_replacement,77,0.0,2.621565884437211e-05
32,L2_layer_without_replacement,78,0.0,2.2747405042673146e-05
32,L2_layer_without_replacement,79,0.0,1.973792696865411e-05
32,L2_layer_without_replacement,80,0.0,1.7126554219335228e-05
32,L2_layer_without_replacement,81,0.0,1.4860635791094929e-05
32,L2_layer_without_replacement,82,0.0,1.2894481043124905e-05
32,L2_layer_without_replacement,83,0.0,1.1188440277331952e-05
32,L2_layer_without_replacement,84,0.0,9.708106588581902e-06
32,L2_layer_without_replacement,85,0.0,8.423623033488216e-06
32,L2_layer_without_replacement,86,0.0,7.309081254832775e-06
32,L2_layer_without_replacement,87,0.0,6.341999513477022e-06
32,L2_layer_without_replacement,88,0.0,5.5028696630220585e-06
32,L2_layer_without_replacement,89,0.0,4.774763973712802e-06
32,L2_layer_without_replacement,90,0.0,4.142993910012147e-06
32,L2_layer_without_replacement,91,0.0,3.594814006661215e-06
32,L2_layer_without_replacement,92,0.0,3.1191648859902295e-06
32,L2_layer_without_replacement,93,0.0,2.7064502491683725e-06
32,L2_layer_without_replacement,94,0.0,2.3483433534264994e-06
32,L2_layer_without_replacement,95,0.0,2.037619077925333e-06
32,L2_layer_without_replacement,96,0.0,1.7680081987498289e-06
32,L2_layer_without_replacement,97,0.0,1.534070934602075e-06
32,L2_layer_without_replacement,98,0.0,1.3310872203375863e-06
32,L2_layer_without_replacement,99,0.0,1.1549614896750388e-06
32,L2_layer_without_replacement,100,0.0,1.0021400573845731e-06
32,L2_layer_without_replacement,101,0.0,8.695394264050801e-07
32,L2_layer_without_replacement,102,0.0,7.5448408126329e-07
32,L2_layer_without_replacement,103,0.0,6.546525096897811e-07
32,L2_layer_without_replacement,104,0.0,5.680303654124101e-07
32,L2_layer_without_replacement,105,0.0,4.928698282154304e-07
32,L2_layer_without_replacement,106,0.0,4.276543390330266e-07
32,L2_layer_without_replacement,107,0.0,3.710680024210207e-07
32,L2_layer_without_replacement,108,0.0,3.219690355699584e-07
32,L2_layer_without_replacement,109,0.0,2.793667319516588e-07
32,L2_layer_without_replacement,110,0.0,2.424014707519856e-07
32,L2_layer_without_replacement,111,0.0,2.1032737363074804e-07
32,L2_layer_without_replacement,112,0.0,1.8249725409243066e-07
32,L2_layer_without_replacement,113,0.0,1.583495589303423e-07
32,L2_layer_without_replacement,114,0.0,1.3739703873231716e-07
32,L2_layer_without_replacement,115,0.0,1.19216914634171e-07
32,L2_layer_without_replacement,116,0.0,1.0344234958537252e-07
32,L2_layer_without_replacement,117,0.0,8.975504493691126e-08
32,L2_layer_without_replacement,118,0.0,7.787881857746314e-08
32,L2_layer_without_replacement,119,0.0,6.757403250129688e-08
32,L2_layer_without_replacement,120,0.0,5.863275667618128e-08
32,L2_layer_without_replacement,121,0.0,5.087457428721312e-08
32,L2_layer_without_replacement,122,0.0,4.414294031586892e-08
32,L2_layer_without_replacement,123,0.0,3.830202417635517e-08
32,L2_layer_without_replacement,124,0.0,3.3233967575421044e-08
32,L2_layer_without_replacement,125,0.0,2.8836507191502156e-08
32,L2_layer_without_replacement,126,0.0,2.5020910880885096e-08
32,L2_layer_without_replacement,127,0.0,2.1710187664903758e-08
32,L2_layer_without_replacement,128,0.0,1.883753341751284e-08
32,L3_arrival_departure,0,0.0,6.86993348471615e-05
32,L3_arrival_departure,1,0.0,0.00017553111149986488
32,L3_arrival_departure,2,0.0,0.0004898774793361879
32,L3_arrival_departure,3,0.0,0.0011734474968548864
32,L3_arrival_departure,4,0.0,0.002460817888612054
