local_bs,level,layer,num_samples,expected_x,p95_x,spike_x,spike_prob,max_prob_x,max_prob
16,L0_global_iid_shuffle,16,496,5.445564516129032,7,16,0.0,5,0.45564516129032256
16,L0_global_iid_shuffle,17,496,5.352822580645162,7,16,0.0,5,0.4899193548387097
16,L0_global_iid_shuffle,18,496,5.415322580645161,7,16,0.0,5,0.4435483870967742
16,L0_global_iid_shuffle,19,496,5.379032258064516,7,16,0.0,5,0.4657258064516129
16,L0_global_iid_shuffle,20,496,5.38508064516129,7,16,0.0,5,0.44556451612903225
16,L0_global_iid_shuffle,21,496,5.387096774193548,7,16,0.0,5,0.4576612903225806
16,L0_global_iid_shuffle,22,496,5.324596774193548,7,16,0.0,5,0.4838709677419355
16,L0_global_iid_shuffle,23,496,5.375,7,16,0.0,5,0.4737903225806452
16,L1_layer_iid_shuffle,0,496,6.612903225806452,9,16,0.0,6,0.3346774193548387
16,L1_layer_iid_shuffle,1,496,6.909274193548387,9,16,0.0,6,0.33064516129032256
16,L1_layer_iid_shuffle,2,496,10.588709677419354,13,16,0.0,11,0.2217741935483871
16,L1_layer_iid_shuffle,3,496,10.441532258064516,13,16,0.0,10,0.2923387096774194
16,L1_layer_iid_shuffle,4,496,11.58266129032258,14,16,0.008064516129032258,12,0.24193548387096775
16,L1_layer_iid_shuffle,5,496,11.179435483870968,14,16,0.0,11,0.25806451612903225
16,L1_layer_iid_shuffle,6,496,7.673387096774194,10,16,0.0,7,0.29838709677419356
16,L1_layer_iid_shuffle,7,496,8.203629032258064,11,16,0.0,8,0.3165322580645161
16,L1_layer_iid_shuffle,8,496,7.651209677419355,10,16,0.0,7,0.3467741935483871
16,L1_layer_iid_shuffle,9,496,12.10483870967742,15,16,0.004032258064516129,12,0.24798387096774194
16,L1_layer_iid_shuffle,10,496,14.094758064516128,16,16,0.11088709677419355,14,0.3245967741935484
16,L1_layer_iid_shuffle,11,496,13.616935483870968,16,16,0.05443548387096774,14,0.27419354838709675
16,L1_layer_iid_shuffle,12,496,11.635080645161292,14,16,0.004032258064516129,11,0.23588709677419356
16,L1_layer_iid_shuffle,13,496,12.0625,15,16,0.0020161290322580645,12,0.3004032258064516
16,L1_layer_iid_shuffle,14,496,8.306451612903226,11,16,0.0,8,0.2842741935483871
16,L1_layer_iid_shuffle,15,496,7.836693548387097,10,16,0.0,8,0.3165322580645161
16,L1_layer_iid_shuffle,16,496,8.298387096774194,11,16,0.0,8,0.30443548387096775
16,L1_layer_iid_shuffle,17,496,11.10483870967742,14,16,0.0020161290322580645,11,0.2399193548387097
16,L1_layer_iid_shuffle,18,496,7.766129032258064,10,16,0.0,7,0.33064516129032256
16,L1_layer_iid_shuffle,19,496,11.372983870967742,14,16,0.006048387096774193,12,0.2318548387096774
16,L1_layer_iid_shuffle,20,496,7.943548387096774,10,16,0.0,8,0.3165322580645161
16,L1_layer_iid_shuffle,21,496,12.58266129032258,15,16,0.028225806451612902,13,0.23790322580645162
16,L1_layer_iid_shuffle,22,496,13.526209677419356,16,16,0.07661290322580645,14,0.29435483870967744
16,L1_layer_iid_shuffle,23,496,13.699596774193548,16,16,0.06653225806451613,14,0.28225806451612906
16,L2_layer_without_replacement,0,496,6.592741935483871,9,16,0.0,6,0.3588709677419355
16,L2_layer_without_replacement,1,496,6.836693548387098,9,16,0.0,6,0.3064516129032258
16,L2_layer_without_replacement,2,496,10.391129032258064,13,16,0.0,10,0.2217741935483871
16,L2_layer_without_replacement,3,496,10.455645161290324,13,16,0.0,10,0.25
16,L2_layer_without_replacement,4,496,11.663306451612902,14,16,0.004032258064516129,12,0.2560483870967742
16,L2_layer_without_replacement,5,496,11.05241935483871,14,16,0.0,11,0.2923387096774194
16,L2_layer_without_replacement,6,496,7.647177419354838,10,16,0.0,7,0.3326612903225806
16,L2_layer_without_replacement,7,496,8.368951612903226,11,16,0.0,8,0.2701612903225806
16,L2_layer_without_replacement,8,496,7.544354838709678,10,16,0.0,7,0.3165322580645161
16,L2_layer_without_replacement,9,496,12.129032258064514,15,16,0.004032258064516129,12,0.25201612903225806
16,L2_layer_without_replacement,10,496,13.969758064516128,16,16,0.10483870967741936,14,0.3387096774193548
16,L2_layer_without_replacement,11,496,13.663306451612902,16,16,0.07459677419354839,14,0.27419354838709675
16,L2_layer_without_replacement,12,496,11.566532258064516,14,16,0.0020161290322580645,12,0.25
16,L2_layer_without_replacement,13,496,12.114919354838708,14,16,0.0020161290322580645,12,0.2721774193548387
16,L2_layer_without_replacement,14,496,8.27016129032258,11,16,0.0,8,0.26411290322580644
16,L2_layer_without_replacement,15,496,7.772177419354838,10,16,0.0,7,0.32661290322580644
16,L2_layer_without_replacement,16,496,8.235887096774194,11,16,0.0,8,0.28830645161290325
16,L2_layer_without_replacement,17,496,11.29233870967742,14,16,0.006048387096774193,11,0.21975806451612903
16,L2_layer_without_replacement,18,496,7.836693548387098,10,16,0.0,8,0.30443548387096775
16,L2_layer_without_replacement,19,496,11.635080645161292,14,16,0.004032258064516129,12,0.21975806451612903
16,L2_layer_without_replacement,20,496,7.931451612903226,10,16,0.0,8,0.28830645161290325
16,L2_layer_without_replacement,21,496,12.491935483870968,15,16,0.010080645161290322,13,0.25806451612903225
16,L2_layer_without_replacement,22,496,13.550403225806452,16,16,0.08064516129032258,14,0.2661290322580645
16,L2_layer_without_replacement,23,496,13.756048387096776,16,16,0.07661290322580645,14,0.2862903225806452
16,L3_arrival_departure,0,496,6.554435483870968,9,16,0.0,6,0.35080645161290325
16,L3_arrival_departure,1,496,6.995967741935484,9,16,0.0,7,0.3346774193548387
16,L3_arrival_departure,2,496,10.576612903225808,13,16,0.0,11,0.24798387096774194
16,L3_arrival_departure,3,496,10.381048387096774,13,16,0.0,10,0.2903225806451613
16,L3_arrival_departure,4,496,11.760080645161292,14,16,0.012096774193548387,12,0.23387096774193547
16,L3_arrival_departure,5,496,11.31048387096774,14,16,0.0020161290322580645,11,0.25806451612903225
16,L3_arrival_departure,6,496,7.687499999999999,10,16,0.0,7,0.3286290322580645
16,L3_arrival_departure,7,496,8.20967741935484,11,16,0.0,8,0.2963709677419355
16,L3_arrival_departure,8,496,7.699596774193548,10,16,0.0,7,0.3165322580645161
16,L3_arrival_departure,9,496,11.913306451612904,14,16,0.0020161290322580645,12,0.27419354838709675
16,L3_arrival_departure,10,496,14.10483870967742,16,16,0.11088709677419355,14,0.31048387096774194
16,L3_arrival_departure,11,496,13.719758064516128,16,16,0.09274193548387097,14,0.2600806451612903
16,L3_arrival_departure,12,496,11.83266129032258,15,16,0.004032258064516129,12,0.21774193548387097
16,L3_arrival_departure,13,496,12.225806451612904,14,16,0.0020161290322580645,12,0.2782258064516129
16,L3_arrival_departure,14,496,8.316532258064516,11,16,0.0,7,0.2560483870967742
16,L3_arrival_departure,15,496,7.655241935483872,10,16,0.0,7,0.3467741935483871
16,L3_arrival_departure,16,496,8.421370967741936,11,16,0.0,8,0.2439516129032258
16,L3_arrival_departure,17,496,11.064516129032258,14,16,0.004032258064516129,11,0.2620967741935484
16,L3_arrival_departure,18,496,7.838709677419354,10,16,0.0,8,0.3245967741935484
16,L3_arrival_departure,19,496,11.512096774193548,14,16,0.006048387096774193,12,0.19959677419354838
16,L3_arrival_departure,20,496,8.14516129032258,11,16,0.0,8,0.25806451612903225
16,L3_arrival_departure,21,496,12.677419354838708,15,16,0.02217741935483871,13,0.25806451612903225
16,L3_arrival_departure,22,496,13.65524193548387,16,16,0.056451612903225805,13,0.2701612903225806
16,L3_arrival_departure,23,496,13.745967741935484,16,16,0.06653225806451613,14,0.3084677419354839
