bs,layer,source,x,probability
2,15,predicted,3,0.58941424922566
2,15,predicted,4,0.2867975304451744
2,15,predicted,5,0.06400466585506638
2,15,predicted,6,0.010231788150973933
2,15,predicted,7,0.0007766580730521606
2,15,predicted,8,2.1737026250325842e-05
2,15,fixed_actual,2,0.06023185483870968
2,15,fixed_actual,3,0.47454637096774194
2,15,fixed_actual,4,0.34475806451612906
2,15,fixed_actual,5,0.078125
2,15,fixed_actual,6,0.04158266129032258
2,15,fixed_actual,7,0.0005040322580645161
2,15,fixed_actual,8,0.00025201612903225806
2,15,cont_sim,2,0.0477
2,15,cont_sim,3,0.58825
2,15,cont_sim,4,0.28885
2,15,cont_sim,5,0.0639
2,15,cont_sim,6,0.0105
2,15,cont_sim,7,0.0008
2,16,predicted,2,0.08103734868870316
2,16,predicted,3,0.6980601934935126
2,16,predicted,4,0.2097573970036502
2,16,predicted,5,0.01066390880064713
2,16,predicted,6,0.000481152013486926
2,16,fixed_actual,2,0.08644153225806452
2,16,fixed_actual,3,0.5630040322580645
2,16,fixed_actual,4,0.31930443548387094
2,16,fixed_actual,5,0.027973790322580645
2,16,fixed_actual,6,0.003276209677419355
2,16,cont_sim,2,0.08115
2,16,cont_sim,3,0.69835
2,16,cont_sim,4,0.2081
2,16,cont_sim,5,0.01195
2,16,cont_sim,6,0.00045
2,17,predicted,2,0.04564435722676574
2,17,predicted,3,0.5944730538359294
2,17,predicted,4,0.31334229785867584
2,17,predicted,5,0.04367818048419621
2,17,predicted,6,0.0028621105944329032
2,17,fixed_actual,2,0.06602822580645161
2,17,fixed_actual,3,0.4826108870967742
2,17,fixed_actual,4,0.39642137096774194
2,17,fixed_actual,5,0.04813508064516129
2,17,fixed_actual,6,0.006804435483870968
2,17,cont_sim,2,0.0441
2,17,cont_sim,3,0.5957
2,17,cont_sim,4,0.3131
2,17,cont_sim,5,0.0449
2,17,cont_sim,6,0.0022
2,18,predicted,2,0.055644834202856715
2,18,predicted,3,0.6169539023884627
2,18,predicted,4,0.3033204490510779
2,18,predicted,5,0.022565764269397125
2,18,predicted,6,0.0015150500882056407
2,18,fixed_actual,2,0.049647177419354836
2,18,fixed_actual,3,0.5297379032258065
2,18,fixed_actual,4,0.37474798387096775
2,18,fixed_actual,5,0.01663306451612903
2,18,fixed_actual,6,0.029233870967741934
2,18,cont_sim,2,0.0556
2,18,cont_sim,3,0.6166
2,18,cont_sim,4,0.30335
2,18,cont_sim,5,0.02295
2,18,cont_sim,6,0.0015
2,19,predicted,2,0.03860630825332499
2,19,predicted,3,0.5402019075995058
2,19,predicted,4,0.36186273834831867
2,19,predicted,5,0.056508869087782895
2,19,predicted,6,0.002812174182776743
2,19,predicted,7,7.939016161553363e-06
2,19,predicted,8,6.35121292933727e-08
2,19,fixed_actual,2,0.05997983870967742
2,19,fixed_actual,3,0.43850806451612906
2,19,fixed_actual,4,0.4284274193548387
2,19,fixed_actual,5,0.06804435483870967
2,19,fixed_actual,6,0.005040322580645161
2,19,cont_sim,2,0.03935
2,19,cont_sim,3,0.5377
2,19,cont_sim,4,0.36075
2,19,cont_sim,5,0.0584
2,19,cont_sim,6,0.0038
2,20,predicted,2,0.04871135795029592
2,20,predicted,3,0.6525492117382609
2,20,predicted,4,0.2758352257830793
2,20,predicted,5,0.02229339250292665
2,20,predicted,6,0.0006076840530697492
2,20,predicted,7,3.112094335329179e-06
2,20,predicted,8,1.587803232345564e-08
2,20,fixed_actual,2,0.04536290322580645
2,20,fixed_actual,3,0.5493951612903226
2,20,fixed_actual,4,0.3611391129032258
2,20,fixed_actual,5,0.03654233870967742
2,20,fixed_actual,6,0.007560483870967742
2,20,cont_sim,2,0.04665
2,20,cont_sim,3,0.65525
2,20,cont_sim,4,0.27295
2,20,cont_sim,5,0.02455
2,20,cont_sim,6,0.0006
2,21,predicted,2,0.03787596640055932
2,21,predicted,3,0.5937518418517495
2,21,predicted,4,0.3489393061579329
2,21,predicted,5,0.019152050832059724
2,21,predicted,6,0.00028083475769870737
2,21,fixed_actual,2,0.0655241935483871
2,21,fixed_actual,3,0.47505040322580644
2,21,fixed_actual,4,0.4296875
2,21,fixed_actual,5,0.028729838709677418
2,21,fixed_actual,6,0.0010080645161290322
2,21,cont_sim,2,0.03835
2,21,cont_sim,3,0.5954
2,21,cont_sim,4,0.34845
2,21,cont_sim,5,0.01755
2,21,cont_sim,6,0.00025
2,22,predicted,2,0.12788397464494178
2,22,predicted,3,0.6721426718689028
2,22,predicted,4,0.19632139017380992
2,22,predicted,5,0.003629337116285169
2,22,predicted,6,2.2626196060440716e-05
2,22,fixed_actual,2,0.11491935483870967
2,22,fixed_actual,3,0.5572076612903226
2,22,fixed_actual,4,0.3251008064516129
2,22,fixed_actual,5,0.002772177419354839
2,22,cont_sim,2,0.1277
2,22,cont_sim,3,0.6709
2,22,cont_sim,4,0.19775
2,22,cont_sim,5,0.00355
2,22,cont_sim,6,0.0001
2,23,predicted,2,0.06903125393775199
2,23,predicted,3,0.6135861082206037
2,23,predicted,4,0.2772747917056208
2,23,predicted,5,0.03762061588473921
2,23,predicted,6,0.002487230251284444
2,23,fixed_actual,2,0.0950100806451613
2,23,fixed_actual,3,0.5383064516129032
2,23,fixed_actual,4,0.3142641129032258
2,23,fixed_actual,5,0.020917338709677418
2,23,fixed_actual,6,0.03150201612903226
2,23,cont_sim,2,0.0687
2,23,cont_sim,3,0.61785
2,23,cont_sim,4,0.2723
2,23,cont_sim,5,0.0387
2,23,cont_sim,6,0.00245
4,0,predicted,4,0.01765522934230969
4,0,predicted,5,0.32916196878571086
4,0,predicted,6,0.3810829686524275
4,0,predicted,7,0.19122103405896237
4,0,predicted,8,0.06373442137946757
4,0,predicted,9,0.01467799646479713
4,0,predicted,10,0.0022408814842231183
4,0,predicted,11,0.00021386434769426276
4,0,predicted,12,1.1435168167728273e-05
4,0,predicted,13,1.9840254975320003e-07
4,0,predicted,14,1.9038614157325626e-09
4,0,predicted,15,9.808162399245807e-12
4,0,predicted,16,2.0421311253217497e-14
4,0,fixed_actual,4,0.014112903225806451
4,0,fixed_actual,5,0.23840725806451613
4,0,fixed_actual,6,0.30997983870967744
4,0,fixed_actual,7,0.171875
4,0,fixed_actual,8,0.21118951612903225
4,0,fixed_actual,9,0.019153225806451613
4,0,fixed_actual,10,0.0025201612903225806
4,0,fixed_actual,11,0.0005040322580645161
4,0,fixed_actual,12,0.03225806451612903
4,0,cont_sim,4,0.0173
4,0,cont_sim,5,0.3319
4,0,cont_sim,6,0.37885
4,0,cont_sim,7,0.19
4,0,cont_sim,8,0.0636
4,0,cont_sim,9,0.0155
4,0,cont_sim,10,0.0025
4,0,cont_sim,11,0.0003
4,0,cont_sim,12,5e-05
4,1,predicted,4,0.019047650669762013
4,1,predicted,5,0.3436509294133333
4,1,predicted,6,0.38853358327044846
