bs,layer,num_cont_batch_samples,tvd,mape_percent,wape_percent,pred_expected_x,cont_expected_x,pred_p95,cont_p95,pred_spike_prob,cont_spike_prob
8,12,20000,0.044322288103922546,8.196743714894495,8.86445762078451,6.118999700292347,6.06295,8,8,0.07875895190740277,0.0768
8,13,20000,0.026710399272722413,14.299481180120466,5.342079854544482,6.355182610087927,6.331899999999999,8,8,0.10347411591541725,0.0983
8,14,20000,0.034202677642795165,369.7816557987921,6.840535528559035,4.687956776564848,4.7138,6,6,0.0029927919624712653,0.0054
8,15,20000,0.05023129776083161,25.72146259363745,10.04625955216632,4.423642895509568,4.41405,6,6,0.0009226403599420517,0.00055
8,16,20000,0.07830216093441589,61.38786260124682,15.660432186883178,4.673251196519623,4.5326,6,6,0.002976111359996203,0.0017
8,17,20000,0.03042228692599042,41.07454855152453,6.084457385198084,5.897736878137683,5.85,8,8,0.05733499245515494,0.05525
8,18,20000,0.03932329724583767,14.790447352660532,7.864659449167534,4.4258013378104675,4.4738999999999995,6,6,0.0010486868893112562,0.0014
8,19,20000,0.01663945737095971,31.384531790314668,3.3278914741919423,5.862276678072802,5.88955,8,8,0.06947622704209579,0.07245
8,20,20000,0.0366387860892865,35.95533032691246,7.3277572178573,4.62309744634617,4.5693,6,6,0.0020230198695889707,0.00145
8,21,20000,0.054847198636089896,26.611792509007536,10.96943972721798,6.38955056979292,6.31625,8,8,0.13672532680870608,0.1496
8,22,20000,0.04342896990335215,19.774266818213913,8.685793980670429,6.79168665409518,6.77775,8,8,0.2604439100193386,0.2732
8,23,20000,0.12423377411828083,56.337102314244405,24.846754823656166,7.230350651019512,6.9338500000000005,8,8,0.40516222767124294,0.3153
16,0,20000,0.024521231547853482,18.636890820945215,4.904246309570697,6.562476843827044,6.5192,9,9,9.490875418904934e-09,0.0
16,1,20000,0.06300028124515025,53.63443580326782,12.60005624903005,6.9001776789349,6.765549999999999,9,9,8.616495239532907e-08,0.0
16,2,20000,0.04077565656197162,70.40540101657582,8.155131312394326,10.391236993817177,10.47065,13,13,0.0007332137818908414,0.0005
16,3,20000,0.043417681300768514,46.965702164885684,8.683536260153705,10.519895644172863,10.511949999999999,13,13,0.00034880963806260845,0.00035
16,4,20000,0.13145930684298657,34.345718877682316,26.29186136859732,11.826953029658206,11.62495,14,15,0.004897032031941478,0.0092
16,5,20000,0.027263417643866868,43.031889794387475,5.452683528773374,11.062695703086018,11.1784,14,14,0.0009422837485795208,0.0016
16,6,20000,0.01237216129723453,124.19086223300506,2.474432259446906,7.7292321812476805,7.773199999999999,10,10,4.605370169663559e-07,0.0
16,7,20000,0.034055201886439214,46.59541523874729,6.811040377287843,8.272813786821319,8.299150000000001,11,11,7.541639186370308e-06,0.0
16,8,20000,0.08424924290676161,75.34841589715957,16.849848581352322,7.625789394330619,7.422,10,9,1.4588544372529134e-07,0.0
16,9,20000,0.08596404031800729,74.35298481879416,17.192808063601458,12.39078962282155,12.074300000000001,15,15,0.010271306378533249,0.00705
16,10,20000,0.017467459670057178,31.65721667272752,3.4934919340114354,14.163842538307899,14.104250000000002,16,16,0.11247099437769516,0.10955
16,11,20000,0.011729492867279156,59.112905879132114,2.3458985734558313,13.648396564996506,13.636199999999999,16,16,0.07811273264043453,0.0769
16,12,20000,0.0567047072842327,47.89356794699914,11.340941456846542,11.728075822978134,11.68925,14,14,0.005138245200160043,0.0084
16,13,20000,0.012440226038521657,9.249979019261945,2.4880452077043316,12.119065975363387,12.09545,14,14,0.005433166206784143,0.00595
16,14,20000,0.05907020544942276,13.51323108691572,11.814041089884553,8.412341090144649,8.2653,11,11,5.165924041539157e-06,0.0
16,15,20000,0.10684431996485891,72.1351311669537,21.368863992971786,7.710110680234607,8.096549999999999,10,11,3.4324247588646305e-07,5e-05
16,16,20000,0.05032694602795175,15.093412782347269,10.06538920559035,8.361061137871681,8.22475,11,11,6.647126384984336e-06,0.0
16,17,20000,0.06009799942245736,33.10227799147,12.019599884491472,11.31151965189442,11.280349999999999,14,14,0.002599987600160448,0.00435
16,18,20000,0.035979361394688145,41.273137003793856,7.195872278937629,7.750205926118568,7.78795,10,10,4.852633651575296e-07,0.0
16,19,20000,0.01546233236041664,36.276218918833315,3.092466472083328,11.488233161682517,11.509250000000002,14,14,0.004755350128738293,0.00455
16,20,20000,0.05700598289307772,25.43964030239264,11.401196578615544,8.207049830710629,8.0306,11,10,1.9633024986864815e-06,0.0
16,21,20000,0.020396233228334115,22.029279689118532,4.079246645666823,12.490599770393137,12.454,15,15,0.017160799680027736,0.01795
16,22,20000,0.020337291325216222,15.963047220812857,4.0674582650432445,13.52104940028794,13.5166,16,16,0.0674148904072272,0.0723
16,23,20000,0.11720426822801631,51.455488141841684,23.440853645603262,14.13761337768164,13.7682,16,16,0.1067535414668063,0.0973
32,0,20000,0.023090658513370235,22.105839520461465,4.618131702674047,11.733799872454167,11.68955,15,15,1.1102230246251578e-16,0.0
32,1,20000,0.03395814225938732,31.175594274207857,6.791628451877465,12.570137816771233,12.54975,16,16,6.99440505513849e-15,0.0
